0,0.01,0.1,1,10
5,3,3,16,18
1,0,0,2,13
0,34,0,2,9
0,0,1,10,22
0,25,0,11,24
0,0,0,22,18
1,3,1,14,22
0,0,14,20,2
0,0,1,8,0
2,0,2,30,8
0,3,0,16,10
0,0,1,20,10
0,2,21,7,18
0,1,19,17,4
0,2,14,15,9
0,0,37,18,5
0,0,0,27,11
1,0,2,22,18
0,0,11,20,25
0,0,1,18,17
0,0,1,1,30
0,0,0,20,20
0,1,6,0,23
0,0,0,10,9
0,2,1,22,15
0,0,22,2,31
0,0,0,23,0
0,0,0,1,16
0,5,0,12,19
0,0,21,19,0
0,0,28,0,7
0,2,16,3,1
0,0,0,24,1
1,0,23,13,6
0,0,30,18,24
1,0,16,8,21
0,1,0,17,16
0,3,0,21,10
0,0,7,13,14
1,2,0,14,0
0,1,0,15,18
0,3,24,17,15
0,0,17,30,14
0,0,12,17,22
2,0,22,8,24
1,0,1,11,10
4,0,28,16,22
2,1,0,11,22
0,0,0,1,20
1,1,0,19,8
0,1,20,1,9
0,0,4,0,9
0,4,0,16,22
0,0,6,12,13
0,1,23,10,16
0,0,1,4,5
1,0,18,34,16
1,1,0,13,8
0,1,1,22,11
0,0,13,22,20
0,0,0,19,3
0,0,13,23,15
0,1,0,12,21
0,0,0,2,5
0,1,0,18,3
0,0,10,4,17
0,0,4,16,20
0,0,18,13,21
2,0,30,23,9
0,1,0,12,22
1,0,11,15,6
1,0,1,27,27
1,3,0,24,24
0,2,0,19,20
0,0,14,18,12
0,0,9,11,21
0,1,0,10,13
2,3,13,9,15
0,3,1,20,7
0,0,3,33,14
0,0,13,0,0
0,0,1,26,10
0,4,10,9,17
0,0,9,11,22
0,0,0,16,12
0,7,3,31,1
3,1,13,13,16
0,8,21,15,43
0,2,0,16,2
1,1,14,18,14
1,0,8,23,23
0,0,18,23,4
0,1,20,12,16
0,0,14,19,7
0,22,0,17,9
0,2,0,15,12
1,0,0,18,16
0,2,5,6,16
2,0,4,30,22
0,0,4,19,9
0,0,11,18,34
0,2,2,12,24
0,2,1,32,25
2,0,9,22,15
2,6,13,0,0
0,2,0,17,19
0,0,3,15,6
0,0,0,13,13
0,0,15,26,1
0,2,1,22,30
0,0,14,1,15
0,0,8,14,10
0,3,0,24,18
2,0,2,22,16
1,2,2,11,20
0,1,22,28,6
0,1,24,23,0
0,1,17,13,16
0,0,9,0,0
1,1,0,13,8
0,0,17,22,19
0,0,0,30,18
0,0,0,20,49
1,1,19,18,23
0,2,1,20,16
0,1,5,1,20
0,2,0,16,4
0,0,0,12,33
0,0,25,20,17
2,0,2,23,21
0,0,28,27,20
0,0,3,27,0
0,0,12,13,17
0,1,0,19,21
0,0,3,34,15
0,0,9,18,17
0,0,3,28,19
0,0,0,0,10
0,3,0,19,12
0,0,11,15,0
1,0,29,2,45
0,0,19,20,14
0,1,2,1,29
0,0,16,11,15
0,0,24,19,20
0,0,2,0,16
0,22,22,24,2
0,0,15,13,10
0,1,10,11,15
0,1,0,25,5
0,0,1,28,5
3,0,1,17,10
0,0,2,19,17
0,0,1,22,24
1,1,4,33,21
0,1,12,18,26
0,0,17,0,7
0,2,1,13,17
0,0,0,16,21
1,0,2,0,27
0,1,28,5,16
0,0,13,9,13
0,0,0,34,16
1,1,0,20,18
0,0,20,31,25
5,0,8,36,22
3,0,0,29,14
0,0,10,27,9
0,1,0,18,18
0,0,19,26,3
